City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Bodden Town,KY,2021-12-11 20:53:36,19.2833,-81.25,86.0,69,40,7.0
144,Qaanaaq,GL,2021-12-11 20:53:37,77.484,-69.3632,-3.26,64,13,7.27
145,Ostrovnoy,RU,2021-12-11 20:53:37,68.0531,39.5131,24.15,92,97,18.3
146,Vilhena,BR,2021-12-11 20:53:37,-12.7406,-60.1458,77.22,94,75,6.91
147,Rocha,UY,2021-12-11 20:53:38,-34.4833,-54.3333,72.81,57,16,11.41
148,Beloha,MG,2021-12-11 20:53:38,-25.1667,45.05,77.97,70,77,5.7
149,Nanortalik,GL,2021-12-11 20:53:38,60.1432,-45.2371,27.19,80,100,24.94
150,Katsuura,JP,2021-12-11 20:53:39,35.1333,140.3,55.18,67,55,11.65
151,Shimoda,JP,2021-12-11 20:53:39,34.6667,138.95,47.1,79,15,11.59
152,Vieques,PR,2021-12-11 20:53:39,18.425,-65.8329,83.62,65,40,18.41
153,Bairnsdale,AU,2021-12-11 20:53:39,-37.8333,147.6167,57.7,92,43,1.99
154,Valparaiso,CL,2021-12-11 20:53:40,-33.0393,-71.6273,68.23,66,40,8.05
155,Rimavska Sobota,SK,2021-12-11 20:53:40,48.3828,20.0224,32.09,87,100,4.45
156,Ribeira Grande,PT,2021-12-11 20:53:40,38.5167,-28.7,66.6,82,75,25.32
157,Englewood,US,2021-12-11 20:52:40,39.6478,-104.9878,52.34,24,40,3.0
158,Esperance,AU,2021-12-11 20:53:41,-33.8667,121.9,53.44,76,38,11.32
159,Skibbereen,IE,2021-12-11 20:53:41,51.55,-9.2667,53.4,97,100,18.07
160,Monroe,US,2021-12-11 20:51:56,43.1501,-77.6831,64.78,88,90,19.57
161,Nanlong,CN,2021-12-11 20:53:41,31.3533,106.0631,47.44,77,98,3.22
162,Ambon,ID,2021-12-11 20:53:42,-3.6954,128.1814,77.14,94,40,10.36
163,Aklavik,CA,2021-12-11 20:53:42,68.2191,-135.0107,-0.4,78,90,17.27
164,Taseyevo,RU,2021-12-11 20:53:42,57.2169,94.8978,24.48,88,100,8.66
165,Atambua,ID,2021-12-11 20:53:43,-9.1061,124.8925,75.07,85,85,2.73
166,Vaitape,PF,2021-12-11 20:53:43,-16.5167,-151.75,80.8,72,11,11.5
167,Kroya,ID,2021-12-11 20:53:43,-7.6331,109.2461,77.2,88,100,2.08
168,Zhigansk,RU,2021-12-11 20:53:44,66.7697,123.3711,-8.91,97,100,9.13
169,Yar-Sale,RU,2021-12-11 20:53:44,66.8333,70.8333,-5.57,100,78,3.91
170,Taruma,BR,2021-12-11 20:53:44,-22.7467,-50.5772,87.44,27,100,3.4
171,Nueve De Julio,AR,2021-12-11 20:53:45,-35.4444,-60.8831,88.47,32,13,3.29
172,Coquimbo,CL,2021-12-11 20:53:45,-29.9533,-71.3436,67.73,59,0,13.8
173,Mbaiki,CF,2021-12-11 20:53:45,3.8678,17.9892,76.93,38,100,0.49
174,Nordhausen,DE,2021-12-11 20:53:45,51.5167,10.8,35.65,97,34,4.29
175,Los Llanos De Aridane,ES,2021-12-11 20:53:46,28.6585,-17.9182,62.35,75,75,8.99
176,Mouila,GA,2021-12-11 20:53:46,-1.8685,11.0559,74.84,98,100,0.56
177,Cuamba,MZ,2021-12-11 20:53:46,-14.8031,36.5372,76.14,34,8,5.41
178,Nalut,LY,2021-12-11 20:53:47,30.3333,10.85,51.24,64,0,8.57
179,Menomonie,US,2021-12-11 20:51:44,44.8755,-91.9193,33.84,60,8,16.11
180,Butte,US,2021-12-11 20:53:47,39.6499,-121.5677,54.09,67,100,6.89
181,Yulara,AU,2021-12-11 20:51:01,-25.2406,130.9889,75.04,25,90,8.05
182,Nokaneng,BW,2021-12-11 20:53:47,-19.6667,22.2667,73.9,68,78,7.96
183,Zhumadian,CN,2021-12-11 20:53:48,32.9794,114.0294,43.25,77,97,4.99
184,San Juan,AR,2021-12-11 20:54:43,-31.5375,-68.5364,94.78,16,0,14.25
185,Thompson,CA,2021-12-11 20:50:36,55.7435,-97.8558,-2.04,71,1,8.05
186,Klaksvik,FO,2021-12-11 20:54:48,62.2266,-6.589,45.52,79,78,23.89
187,Bandarbeyla,SO,2021-12-11 20:54:48,9.4942,50.8122,77.0,80,36,22.48
188,Beringovskiy,RU,2021-12-11 20:54:49,63.05,179.3167,-22.54,97,40,5.41
189,Darhan,MN,2021-12-11 20:54:49,49.4867,105.9228,2.95,86,36,6.89
190,Dharchula,IN,2021-12-11 20:54:49,29.85,80.5333,45.37,28,7,8.99
191,Borshchiv,UA,2021-12-11 20:54:50,48.8033,26.0435,37.44,88,100,5.86
192,Kulhudhuffushi,MV,2021-12-11 20:54:50,6.6221,73.07,81.32,74,88,10.83
193,Grand-Santi,GF,2021-12-11 20:54:50,4.25,-54.3833,81.37,73,83,5.14
194,Hofn,IS,2021-12-11 20:54:51,64.2539,-15.2082,42.53,87,100,23.15
195,Karasjok,NO,2021-12-11 20:54:51,69.4719,25.5112,10.51,100,90,2.37
196,Tabuk,PH,2021-12-11 20:54:51,17.4189,121.4443,71.38,93,99,4.03
197,Nouadhibou,MR,2021-12-11 20:54:51,20.931,-17.0347,69.78,56,0,8.05
198,Yarada,IN,2021-12-11 20:54:52,17.65,83.2667,77.32,83,40,6.91
199,Wiarton,CA,2021-12-11 20:54:52,44.7407,-81.1332,42.04,75,90,27.63
200,Harper,LR,2021-12-11 20:54:52,4.375,-7.7169,80.06,81,99,9.19
201,Qaqortoq,GL,2021-12-11 20:54:53,60.7167,-46.0333,17.11,86,100,1.86
202,Ahipara,NZ,2021-12-11 20:54:53,-35.1667,173.1667,68.49,95,100,5.59
203,Ballina,AU,2021-12-11 20:54:53,-28.8667,153.5667,66.38,87,90,6.91
204,Castro,BR,2021-12-11 20:54:54,-24.7911,-50.0119,76.37,49,100,4.97
