City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
166,Axim,GH,79.05,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
169,Arraial Do Cabo,BR,74.32,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
170,Codrington,AU,77.99,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
173,Plouzane,FR,53.78,overcast clouds,48.3833,-4.6167,Lymina
174,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
175,Phetchaburi,TH,75.79,clear sky,12.9667,99.5833,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
176,Da Nang,VN,75.18,broken clouds,16.0678,108.2208,Sun River Hotel
177,Panuco,MX,71.78,overcast clouds,22.05,-98.1667,Hotel Plaza
178,Cockburn Town,TC,80.67,clear sky,21.4612,-71.1419,Osprey Beach Hotel
179,Bandarbeyla,SO,76.84,light rain,9.4942,50.8122,JABIR HOTEL
181,Port-Gentil,GA,78.19,overcast clouds,-0.7193,8.7815,Fengshui Residence
182,Sambava,MG,72.5,overcast clouds,-14.2667,50.1667,Melrose
183,Biltine,TD,70.32,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
184,Ngunguru,NZ,73.17,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
185,Westport,US,65.89,light rain,41.1415,-73.3579,Norwalk Inn
187,San Severo,IT,47.41,light rain,41.6897,15.376,B&B Palazzo de Matteis
188,Kendari,ID,89.01,overcast clouds,-3.945,122.4989,Hotel Wixel
189,Inongo,CD,72.18,overcast clouds,-1.95,18.2667,Hotel Du Lac
190,Ponta Delgada,PT,65.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
193,Constitucion,CL,51.87,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
195,Tuatapere,NZ,59.83,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
196,San Nicolas,PH,82.94,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
198,Majene,ID,77.56,moderate rain,-3.5403,118.9707,Kost Putri RABBANI
200,Kismayo,SO,79.75,clear sky,-0.3582,42.5454,Agan-Hotel
201,Guangyuan,CN,45.88,clear sky,32.442,105.823,Guangyuan Poetry Hotel
202,Sur,OM,67.64,clear sky,22.5667,59.5289,Sur Plaza Hotel
203,Bajil,YE,73.33,clear sky,15.0584,43.2851,فندق حضرموت
204,Meulaboh,ID,79.72,scattered clouds,4.1363,96.1285,Kost Pria
205,Crystal Beach,CA,41.07,broken clouds,42.8699,-79.0583,Yellow Door Bed and Breakfast
208,Kavieng,PG,83.84,moderate rain,-2.5744,150.7967,Nusa Island Retreat
211,Tateyama,JP,62.1,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
212,Ishigaki,JP,73.65,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
213,Tutoia,BR,81.32,broken clouds,-2.7619,-42.2744,Pousada Guará's
214,Atambua,ID,84.65,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
215,Shakawe,BW,71.29,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
216,Brufut,GM,68.09,broken clouds,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
217,Lorengau,PG,82.58,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
220,Amahai,ID,88.29,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
222,Tuburan,PH,84.29,overcast clouds,6.6439,122.2736,GT Site
223,Zhuhai,CN,72.72,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
224,Koumra,TD,73.63,overcast clouds,8.9126,17.5539,Yamtoide house koumra
226,Great Yarmouth,GB,51.94,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
228,Kalabo,ZM,71.06,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
229,Kulhudhuffushi,MV,81.32,overcast clouds,6.6221,73.07,Haajy Guest House 1
230,Santa Cruz,BO,74.66,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
233,Requena,ES,50.13,clear sky,39.4883,-1.1004,Hotel Avenida
234,Klaksvik,FO,45.52,overcast clouds,62.2266,-6.589,Airbnb rooms
237,Te Anau,NZ,64.31,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
238,Namatanai,PG,85.96,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
239,Lata,PT,50.81,clear sky,40.1629,-8.3327,Casa Maquia
241,Biak,ID,82.78,overcast clouds,-0.9131,122.8766,Penginapan Kim
242,Ixtapa,MX,76.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
243,Nouadhibou,MR,67.37,scattered clouds,20.931,-17.0347,El Medina
244,Manadhoo,MV,81.82,overcast clouds,5.7667,73.3833,Reason Inn
248,Port Lincoln,AU,83.44,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
249,Itarema,BR,80.58,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
250,Fomboni,KM,81.52,overcast clouds,-12.28,43.7425,Auberge les abou
251,Asau,RO,41.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
252,Ucluelet,CA,43.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
253,Contamana,PE,83.08,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
254,Mutis,CO,75.9,moderate rain,6.2262,-77.4044,Paraiso Escondido
255,Bako,ET,61.66,broken clouds,5.7833,36.5667,Goh Hotel
256,Sola,VU,78.48,overcast clouds,-13.8833,167.55,Leumerus Bungalows
257,Bonthe,SL,80.13,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
258,Katobu,ID,84.52,overcast clouds,-4.9408,122.5276,La Ode Husein
259,Goiatuba,BR,72.7,overcast clouds,-18.0125,-49.3547,Hotel Barrocos
260,Stornoway,GB,42.76,broken clouds,58.2093,-6.3865,Caladh Inn
261,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
263,Puri,IN,74.37,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
264,Kaitangata,NZ,55.92,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
266,Pundaguitan,PH,82.51,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
267,Montepuez,MZ,65.77,broken clouds,-13.1256,38.9997,PembaAparthotel
268,Waingapu,ID,86.45,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
269,Lompoc,US,56.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
270,Grindavik,IS,41.47,light rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
271,Praya,CV,72.14,few clouds,14.9215,-23.5087,LT Aparthotel
272,Itaituba,BR,74.93,overcast clouds,-4.2761,-55.9836,Hotel Campos
273,Caravelas,BR,74.1,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
276,Boa Vista,BR,76.98,light rain,2.8197,-60.6733,Aipana Plaza Hotel
279,Canete,CL,48.85,scattered clouds,-37.8,-73.4,Alojamiento El Alero Criollo
280,San Juan De Los Lagos,MX,60.1,few clouds,21.25,-102.3,Hotel Posada Arcos
281,Rawson,AR,70.25,clear sky,-43.3002,-65.1023,Hosteria Sampedro
282,Hambantota,LK,79.59,overcast clouds,6.1241,81.1185,Bungalow 63
287,Gizo,SB,84.97,light rain,-8.103,156.8419,Imagination Island
288,Matay,EG,61.74,overcast clouds,28.419,30.7792,Nag Aespen
289,Laguna,US,53.06,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
291,Portland,US,48.61,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
292,Seoul,KR,42.31,scattered clouds,37.5683,126.9778,Lotte Hotel Seoul
293,Castro Alves,BR,69.89,light rain,-12.7656,-39.4283,Hotel e Restaurante do Poeta
294,Turayf,SA,48.45,clear sky,31.6725,38.6637,Turaif
295,Broken Hill,AU,83.25,clear sky,-31.95,141.4333,Royal Exchange Hotel
297,Arlit,NE,65.77,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
